datetime,sales,time,weekday,holiday
2018-09-01 05:30:00,0,330,1,0
2018-09-01 05:45:00,0,345,1,0
2018-09-01 06:00:00,0,360,1,0
2018-09-01 06:15:00,0,375,1,0
2018-09-01 06:30:00,0,390,1,0
2018-09-01 06:45:00,0,405,1,0
2018-09-01 07:00:00,0,420,1,0
2018-09-01 07:15:00,0,435,1,0
2018-09-01 07:30:00,0,450,1,0
2018-09-01 07:45:00,36,465,1,0
2018-09-01 08:00:00,20,480,1,0
2018-09-01 08:15:00,9,495,1,0
2018-09-01 08:30:00,7,510,1,0
2018-09-01 08:45:00,30,525,1,0
2018-09-01 09:00:00,24,540,1,0
2018-09-01 09:15:00,46,555,1,0
2018-09-01 09:30:00,64,570,1,0
2018-09-01 09:45:00,107,585,1,0
2018-09-01 10:00:00,30,600,1,0
2018-09-01 10:15:00,16,615,1,0
2018-09-01 10:30:00,31,630,1,0
2018-09-01 10:45:00,23,645,1,0
2018-09-01 11:00:00,25,660,1,0
2018-09-01 11:15:00,43,675,1,0
2018-09-01 11:30:00,112,690,1,0
2018-09-01 11:45:00,56,705,1,0
2018-09-01 12:00:00,20,720,1,0
2018-09-01 12:15:00,45,735,1,0
2018-09-01 12:30:00,32,750,1,0
2018-09-01 12:45:00,77,765,1,0
2018-09-01 13:00:00,132,780,1,0
2018-09-01 13:15:00,118,795,1,0
2018-09-01 13:30:00,37,810,1,0
2018-09-01 13:45:00,70,825,1,0
2018-09-01 14:00:00,71,840,1,0
2018-09-01 14:15:00,30,855,1,0
2018-09-01 14:30:00,15,870,1,0
2018-09-01 14:45:00,20,885,1,0
2018-09-01 15:00:00,10,900,1,0
2018-09-01 15:15:00,39,915,1,0
2018-09-01 15:30:00,50,930,1,0
2018-09-01 15:45:00,105,945,1,0
2018-09-01 16:00:00,53,960,1,0
2018-09-01 16:15:00,8,975,1,0
2018-09-01 16:30:00,0,990,1,0
2018-09-01 16:45:00,0,1005,1,0
2018-09-01 17:00:00,0,1020,1,0
2018-09-01 17:15:00,0,1035,1,0
2018-09-01 17:30:00,0,1050,1,0
2018-09-01 17:45:00,0,1065,1,0
2018-09-01 18:00:00,0,1080,1,0
2018-09-01 18:15:00,0,1095,1,0
2018-09-01 18:30:00,0,1110,1,0
2018-09-01 18:45:00,0,1125,1,0
2018-09-01 19:00:00,0,1140,1,0
2018-09-01 19:15:00,0,1155,1,0
2018-09-01 19:30:00,0,1170,1,0
2018-09-01 19:45:00,0,1185,1,0
2018-09-01 20:00:00,0,1200,1,0
2018-09-01 20:15:00,0,1215,1,0
2018-09-01 20:30:00,0,1230,1,0
2018-09-01 20:45:00,0,1245,1,0
2018-09-01 21:00:00,0,1260,1,0
2018-09-01 21:15:00,0,1275,1,0
2018-09-01 21:30:00,0,1290,1,0
2018-09-01 21:45:00,0,1305,1,0
2018-09-01 22:00:00,0,1320,1,0
2018-09-01 22:15:00,0,1335,1,0
2018-09-01 22:30:00,0,1350,1,0
2018-09-01 22:45:00,0,1365,1,0
2018-09-01 23:00:00,0,1380,1,0
2018-09-01 23:15:00,0,1395,1,0
2018-09-01 23:30:00,0,1410,1,0
2018-09-01 23:45:00,0,1425,1,0
2018-10-01 00:00:00,0,0,2,0
2018-10-01 00:15:00,0,15,2,0
2018-10-01 00:30:00,0,30,2,0
2018-10-01 00:45:00,0,45,2,0
2018-10-01 01:00:00,0,60,2,0
2018-10-01 01:15:00,0,75,2,0
2018-10-01 01:30:00,0,90,2,0
2018-10-01 01:45:00,0,105,2,0
2018-10-01 02:00:00,0,120,2,0
2018-10-01 02:15:00,0,135,2,0
2018-10-01 02:30:00,0,150,2,0
2018-10-01 02:45:00,0,165,2,0
2018-10-01 03:00:00,0,180,2,0
2018-10-01 03:15:00,0,195,2,0
2018-10-01 03:30:00,0,210,2,0
2018-10-01 03:45:00,0,225,2,0
2018-10-01 04:00:00,0,240,2,0
2018-10-01 04:15:00,0,255,2,0
2018-10-01 04:30:00,0,270,2,0
2018-10-01 04:45:00,0,285,2,0
2018-10-01 05:00:00,0,300,2,0
2018-10-01 05:15:00,0,315,2,0
2018-10-01 05:30:00,0,330,2,0
2018-10-01 05:45:00,0,345,2,0
2018-10-01 06:00:00,0,360,2,0
2018-10-01 06:15:00,0,375,2,0
2018-10-01 06:30:00,0,390,2,0
2018-10-01 06:45:00,0,405,2,0
2018-10-01 07:00:00,0,420,2,0
2018-10-01 07:15:00,0,435,2,0
2018-10-01 07:30:00,0,450,2,0
2018-10-01 07:45:00,31,465,2,0
2018-10-01 08:00:00,9,480,2,0
2018-10-01 08:15:00,10,495,2,0
2018-10-01 08:30:00,16,510,2,0
2018-10-01 08:45:00,33,525,2,0
2018-10-01 09:00:00,21,540,2,0
2018-10-01 09:15:00,37,555,2,0
2018-10-01 09:30:00,69,570,2,0
2018-10-01 09:45:00,51,585,2,0
2018-10-01 10:00:00,42,600,2,0
2018-10-01 10:15:00,16,615,2,0
2018-10-01 10:30:00,20,630,2,0
2018-10-01 10:45:00,14,645,2,0
2018-10-01 11:00:00,14,660,2,0
2018-10-01 11:15:00,94,675,2,0
2018-10-01 11:30:00,87,690,2,0
2018-10-01 11:45:00,34,705,2,0
2018-10-01 12:00:00,29,720,2,0
2018-10-01 12:15:00,43,735,2,0
2018-10-01 12:30:00,63,750,2,0
